"Timestamp","Temperature_Celsius(℃)","Relative_Humidity(%)"
"2022-08-24 08:39:36","28.6","53"
"2022-08-24 09:39:36","28.9","53"
"2022-08-24 10:39:39","29.1","53"
"2022-08-24 11:39:39","29.2","53"
"2022-08-24 12:39:40","29.0","47"
"2022-08-24 13:39:43","29.0","46"
"2022-08-24 14:39:43","28.4","45"
"2022-08-24 15:39:43","28.2","46"
"2022-08-24 16:39:43","28.2","47"
"2022-08-24 17:39:43","28.1","47"
"2022-08-24 18:39:43","27.9","48"
"2022-08-24 19:39:43","27.7","48"
"2022-08-24 20:39:42","27.7","48"
"2022-08-24 21:39:44","27.9","52"
"2022-08-24 22:39:49","28.4","54"
"2022-08-24 23:39:55","27.9","53"
"2022-08-25 00:39:55","27.7","53"
"2022-08-25 01:39:55","27.6","54"
"2022-08-25 02:39:58","28.1","55"
"2022-08-25 03:39:58","28.2","56"
"2022-08-25 04:39:58","28.3","56"
"2022-08-25 05:39:58","28.3","56"
"2022-08-25 06:39:58","28.4","55"
"2022-08-25 07:39:58","28.5","55"
"2022-08-25 08:39:58","28.7","54"
"2022-08-25 09:39:00","28.9","53"
"2022-08-25 10:39:00","28.1","43"
"2022-08-25 11:39:07","28.1","40"
"2022-08-25 12:39:08","28.5","40"
"2022-08-25 13:39:08","28.4","39"
"2022-08-25 14:39:12","28.8","40"
"2022-08-25 15:39:14","28.6","41"
"2022-08-25 16:39:14","28.5","43"
"2022-08-25 17:39:17","28.2","46"
"2022-08-25 18:39:23","28.0","46"
"2022-08-25 19:39:36","27.6","47"
"2022-08-25 20:39:39","27.3","47"
"2022-08-25 21:39:40","27.3","47"
"2022-08-25 22:39:47","27.0","45"
"2022-08-25 23:39:52","26.8","44"
"2022-08-26 00:39:56","26.7","46"
"2022-08-26 01:39:07","26.9","47"
"2022-08-26 02:39:07","27.9","49"
"2022-08-26 03:39:11","28.1","50"
"2022-08-26 04:39:11","28.1","50"
"2022-08-26 05:39:11","28.0","50"
"2022-08-26 06:39:11","28.1","51"
"2022-08-26 07:39:11","28.2","51"
"2022-08-26 08:39:11","28.2","51"
"2022-08-26 09:39:11","28.2","50"
"2022-08-26 10:39:13","28.3","51"
"2022-08-26 11:39:15","28.3","49"
"2022-08-26 12:39:15","28.0","46"
"2022-08-26 13:39:15","28.0","45"
"2022-08-26 14:39:15","28.0","44"
"2022-08-26 15:39:15","28.1","43"
"2022-08-26 16:39:16","28.1","41"
"2022-08-26 17:39:20","27.2","38"
"2022-08-26 18:39:27","27.0","42"
"2022-08-26 19:39:27","27.7","44"
"2022-08-26 20:39:27","28.0","45"
"2022-08-26 21:39:27","28.1","44"
"2022-08-26 22:39:30","28.1","43"
"2022-08-26 23:39:33","28.1","43"
"2022-08-27 00:39:38","28.1","43"
"2022-08-27 01:39:44","28.1","42"
"2022-08-27 02:39:43","28.1","42"
"2022-08-27 03:39:43","28.0","42"
"2022-08-27 04:39:43","28.0","41"
"2022-08-27 05:39:43","28.1","41"
"2022-08-27 06:39:43","28.1","41"
"2022-08-27 07:39:43","28.1","41"
"2022-08-27 08:39:43","28.1","41"
"2022-08-27 09:39:43","28.2","41"
"2022-08-27 10:39:47","28.3","41"
"2022-08-27 11:39:47","28.4","42"
"2022-08-27 12:39:47","28.5","43"
"2022-08-27 13:39:48","28.6","43"
"2022-08-27 14:39:48","27.4","36"
"2022-08-27 15:39:48","27.0","36"
"2022-08-27 16:39:51","28.0","39"
"2022-08-27 17:39:51","28.0","40"
"2022-08-27 18:39:52","27.9","39"
"2022-08-27 19:39:08","27.6","42"
"2022-08-27 20:39:15","27.5","39"
"2022-08-27 21:39:15","27.3","40"
"2022-08-27 22:39:22","27.1","39"
"2022-08-27 23:39:27","26.9","39"
"2022-08-28 00:39:32","26.7","38"
"2022-08-28 01:39:52","26.6","39"
"2022-08-28 02:39:00","26.6","38"
"2022-08-28 03:39:12","26.8","39"
"2022-08-28 04:39:13","27.2","39"
"2022-08-28 05:39:13","27.2","39"
"2022-08-28 06:39:13","27.3","40"
"2022-08-28 07:39:13","27.4","40"
"2022-08-28 08:39:13","27.6","40"
"2022-08-28 09:39:13","27.8","40"
"2022-08-28 10:39:20","28.0","39"
"2022-08-28 11:39:20","28.1","38"
"2022-08-28 12:39:34","28.1","39"
"2022-08-28 13:39:34","28.2","40"
"2022-08-28 14:39:34","28.1","39"
"2022-08-28 15:39:34","28.1","39"
"2022-08-28 16:39:34","28.1","39"
"2022-08-28 17:39:39","28.0","38"
"2022-08-28 18:39:43","28.0","38"
"2022-08-28 19:39:43","27.2","37"
"2022-08-28 20:39:43","26.8","41"
"2022-08-28 21:39:43","26.4","42"
"2022-08-28 22:39:43","27.2","43"
"2022-08-28 23:39:47","27.0","41"
"2022-08-29 00:39:49","26.9","41"
"2022-08-29 01:39:52","26.8","40"
"2022-08-29 02:39:59","26.4","39"
"2022-08-29 03:39:59","26.9","39"
"2022-08-29 04:39:59","27.1","39"
"2022-08-29 05:39:59","27.2","39"
